,season,team,player
1209,2013,Kolkata Knight Riders,SP Narine
1210,2015,Rajasthan Royals,AM Rahane
1211,2018,Delhi Daredevils,HV Patel
1212,2011,Delhi Daredevils,V Sehwag
1213,2019,Kolkata Knight Riders,J Denly
1214,2012,Pune Warriors,AP Majumdar
1215,2008,Delhi Daredevils,VY Mahesh
1216,2009,Chennai Super Kings,T Thushara
1217,2010,Mumbai Indians,R Sathish
1218,2016,Delhi Daredevils,P Negi
1219,2009,Rajasthan Royals,LA Carseldine
1220,2008,Delhi Daredevils,A Mishra
1221,2009,Rajasthan Royals,YK Pathan
1222,2016,Royal Challengers Bangalore,KM Jadhav
1223,2008,Deccan Chargers,PM Sarvesh Kumar
1224,2014,Rajasthan Royals,VS Malik
1225,2019,Royal Challengers Bangalore,M Ali
1226,2008,Kolkata Knight Riders,LR Shukla
1227,2013,Mumbai Indians,NM Coulter-Nile
1228,2008,Royal Challengers Bangalore,V Kohli
1229,2010,Chennai Super Kings,KB Arun Karthik
1230,2014,Delhi Daredevils,MA Agarwal
1231,2014,Mumbai Indians,PP Ojha
1232,2012,Kolkata Knight Riders,G Gambhir
1233,2015,Kings XI Punjab,SN Thakur
1234,2011,Rajasthan Royals,SW Tait
1235,2018,Kolkata Knight Riders,AD Russell
1236,2011,Kochi Tuskers Kerala,PA Patel
1237,2017,Kings XI Punjab,MP Stoinis
1238,2014,Royal Challengers Bangalore,AB Dinda
1239,2019,Royal Challengers Bangalore,S Dube
1240,2015,Delhi Daredevils,SS Tiwary
1241,2012,Chennai Super Kings,F du Plessis
1242,2009,Kings XI Punjab,RS Bopara
1243,2011,Chennai Super Kings,R Ashwin
1244,2011,Delhi Daredevils,UT Yadav
1245,2017,Gujarat Lions,P Kumar
1246,2012,Delhi Daredevils,VR Aaron
1247,2019,Kolkata Knight Riders,Kuldeep Yadav
1248,2018,Rajasthan Royals,M Lomror
1249,2014,Chennai Super Kings,SK Raina
1250,2016,Mumbai Indians,JJ Bumrah
1251,2016,Sunrisers Hyderabad,AP Tare
1252,2017,Delhi Daredevils,J Yadav
1253,2008,Delhi Daredevils,PJ Sangwan
1254,2009,Royal Challengers Bangalore,DW Steyn
1255,2012,Pune Warriors,A Nehra
1256,2013,Delhi Daredevils,UT Yadav
1257,2017,Mumbai Indians,SL Malinga
1258,2009,Delhi Daredevils,AB McDonald
1259,2011,Kings XI Punjab,P Kumar
1260,2016,Gujarat Lions,P Kumar
1261,2008,Kolkata Knight Riders,Mohammad Hafeez
1262,2016,Royal Challengers Bangalore,TM Head
1263,2018,Mumbai Indians,E Lewis
1264,2017,Gujarat Lions,AJ Tye
1265,2016,Mumbai Indians,KA Pollard
1266,2015,Kings XI Punjab,Anureet Singh
1267,2009,Mumbai Indians,GR Napier
1268,2016,Kolkata Knight Riders,UT Yadav
1269,2011,Rajasthan Royals,J Botha
1270,2014,Sunrisers Hyderabad,DW Steyn
1271,2019,Chennai Super Kings,SN Thakur
1272,2010,Deccan Chargers,AC Gilchrist
1273,2011,Kochi Tuskers Kerala,NLTC Perera
1274,2018,Sunrisers Hyderabad,S Dhawan
1275,2012,Delhi Daredevils,S Nadeem
1276,2012,Rajasthan Royals,A Chandila
1277,2018,Sunrisers Hyderabad,K Ahmed
1278,2014,Delhi Daredevils,LR Shukla
1279,2016,Gujarat Lions,DR Smith
1280,2012,Royal Challengers Bangalore,Z Khan
1281,2018,Sunrisers Hyderabad,MK Pandey
1282,2015,Kings XI Punjab,MG Johnson
1283,2010,Kings XI Punjab,RS Bopara
1284,2011,Deccan Chargers,MJ Lumb
1285,2018,Rajasthan Royals,Ankit Sharma
1286,2014,Rajasthan Royals,KK Nair
1287,2008,Kings XI Punjab,DPMD Jayawardene
1288,2013,Sunrisers Hyderabad,GH Vihari
1289,2017,Gujarat Lions,MM Patel
1290,2010,Rajasthan Royals,SA Asnodkar
1291,2010,Chennai Super Kings,S Tyagi
1292,2012,Kolkata Knight Riders,B Lee
1293,2018,Kolkata Knight Riders,MG Johnson
1294,2013,Sunrisers Hyderabad,X Thalaivan Sargunam
1295,2014,Kings XI Punjab,AR Patel
1296,2010,Deccan Chargers,MR Marsh
1297,2017,Kings XI Punjab,Anureet Singh
1298,2014,Sunrisers Hyderabad,B Kumar
1299,2016,Kings XI Punjab,KJ Abbott
1300,2017,Mumbai Indians,JJ Bumrah
1301,2019,Royal Challengers Bangalore,P R Barman
1302,2008,Mumbai Indians,AM Nayar
1303,2013,Kings XI Punjab,LA Pomersbach
1304,2011,Pune Warriors,AC Thomas
1305,2013,Royal Challengers Bangalore,M Muralitharan
1306,2010,Chennai Super Kings,R Ashwin
1307,2015,Rajasthan Royals,SV Samson
1308,2009,Kolkata Knight Riders,LR Shukla
1309,2016,Gujarat Lions,AJ Finch
1310,2010,Rajasthan Royals,AD Mascarenhas
1311,2016,Rising Pune Supergiants,GJ Bailey
1312,2009,Royal Challengers Bangalore,SP Goswami
1313,2009,Rajasthan Royals,NV Ojha
1314,2008,Kolkata Knight Riders,DJ Hussey
1315,2013,Sunrisers Hyderabad,Anand Rajan
1316,2016,Rising Pune Supergiants,R Ashwin
1317,2012,Royal Challengers Bangalore,DL Vettori
1318,2011,Chennai Super Kings,DE Bollinger
1319,2009,Kolkata Knight Riders,BJ Hodge
1320,2017,Gujarat Lions,JP Faulkner
1321,2017,Rising Pune Supergiant,RA Tripathi
1322,2009,Delhi Daredevils,AM Salvi
1323,2011,Royal Challengers Bangalore,AB de Villiers
1324,2014,Sunrisers Hyderabad,NV Ojha
1325,2009,Royal Challengers Bangalore,P Kumar
1326,2016,Kolkata Knight Riders,AS Rajpoot
1327,2011,Royal Challengers Bangalore,S Aravind
1328,2013,Royal Challengers Bangalore,CH Gayle
1329,2019,Kings XI Punjab,S Singh
1330,2013,Pune Warriors,AD Mathews
1331,2018,Sunrisers Hyderabad,YK Pathan
1332,2017,Kolkata Knight Riders,SA Yadav
1333,2019,Chennai Super Kings,KM Jadhav
1334,2011,Royal Challengers Bangalore,CA Pujara
1335,2012,Kings XI Punjab,DA Miller
1336,2011,Pune Warriors,JD Ryder
1337,2013,Royal Challengers Bangalore,AB McDonald
1338,2010,Rajasthan Royals,SK Trivedi
1339,2018,Delhi Daredevils,Avesh Khan
1340,2018,Rajasthan Royals,I Sodhi
1341,2009,Kings XI Punjab,SM Katich
1342,2015,Chennai Super Kings,F du Plessis
1343,2014,Kings XI Punjab,GJ Bailey
1344,2011,Kochi Tuskers Kerala,KM Jadhav
1345,2008,Mumbai Indians,DR Smith
1346,2015,Mumbai Indians,R Vinay Kumar
1347,2009,Royal Challengers Bangalore,RV Uthappa
1348,2018,Kings XI Punjab,CH Gayle
1349,2012,Mumbai Indians,NLTC Perera
1350,2017,Royal Challengers Bangalore,S Aravind
1351,2008,Kings XI Punjab,RR Powar
1352,2019,Mumbai Indians,R Salam
1353,2009,Kolkata Knight Riders,AB Agarkar
1354,2008,Rajasthan Royals,M Kaif
1355,2014,Rajasthan Royals,KW Richardson
1356,2013,Pune Warriors,K Upadhyay
1357,2012,Deccan Chargers,CA Lynn
1358,2017,Rising Pune Supergiant,Imran Tahir
1359,2008,Kolkata Knight Riders,Umar Gul
1360,2019,Mumbai Indians,Yuvraj Singh
1361,2010,Delhi Daredevils,S Ladda
1362,2019,Royal Challengers Bangalore,H Klaasen
1363,2012,Chennai Super Kings,R Ashwin
1364,2019,Rajasthan Royals,SV Samson
1365,2012,Kings XI Punjab,Bipul Sharma
1366,2017,Gujarat Lions,SB Jakati
1367,2013,Rajasthan Royals,A Chandila
1368,2018,Delhi Daredevils,DT Christian
1369,2010,Mumbai Indians,AN Ahmed
1370,2010,Delhi Daredevils,Y Nagar
1371,2009,Rajasthan Royals,Kamran Khan
1372,2012,Pune Warriors,AB Dinda
1373,2016,Mumbai Indians,Harbhajan Singh
1374,2018,Royal Challengers Bangalore,M Vohra
1375,2016,Sunrisers Hyderabad,TA Boult
1376,2013,Kings XI Punjab,AC Gilchrist
1377,2017,Gujarat Lions,AD Nath
1378,2010,Kings XI Punjab,L Ablish
1379,2010,Deccan Chargers,DR Smith
1380,2009,Kolkata Knight Riders,MN van Wyk
1381,2008,Royal Challengers Bangalore,J Arunkumar
1382,2013,Kolkata Knight Riders,SMSM Senanayake
1383,2011,Pune Warriors,S Rana
1384,2010,Kolkata Knight Riders,SC Ganguly
1385,2015,Sunrisers Hyderabad,I Sharma
1386,2013,Rajasthan Royals,DH Yagnik
1387,2017,Mumbai Indians,Harbhajan Singh
1388,2017,Rising Pune Supergiant,DL Chahar
1389,2017,Gujarat Lions,Ishan Kishan
1390,2013,Kings XI Punjab,M Vohra
1391,2013,Royal Challengers Bangalore,V Kohli
1392,2010,Chennai Super Kings,JA Morkel
1393,2014,Rajasthan Royals,UBT Chand
1394,2013,Sunrisers Hyderabad,CL White
1395,2013,Royal Challengers Bangalore,Z Khan
1396,2016,Mumbai Indians,LMP Simmons
1397,2015,Rajasthan Royals,KK Nair
1398,2017,Kolkata Knight Riders,AS Rajpoot
1399,2013,Kolkata Knight Riders,RN ten Doeschate
1400,2010,Delhi Daredevils,KD Karthik
1401,2010,Mumbai Indians,DJ Bravo
1402,2012,Kolkata Knight Riders,YK Pathan
1403,2016,Kolkata Knight Riders,SA Yadav
1404,2010,Rajasthan Royals,DR Martyn
1405,2018,Rajasthan Royals,B Laughlin
1406,2014,Royal Challengers Bangalore,JA Morkel
1407,2018,Delhi Daredevils,P Shaw
1408,2017,Sunrisers Hyderabad,Bipul Sharma
1409,2010,Kings XI Punjab,SE Marsh
1410,2009,Kings XI Punjab,RR Powar
1411,2014,Rajasthan Royals,R Bhatia
1412,2019,Delhi Capitals,S Rutherford
1413,2010,Rajasthan Royals,MM Patel
1414,2010,Delhi Daredevils,R Bhatia
1415,2008,Mumbai Indians,Harbhajan Singh
1416,2013,Royal Challengers Bangalore,MC Henriques
1417,2011,Chennai Super Kings,Joginder Sharma
1418,2013,Delhi Daredevils,B Chipli
1419,2013,Sunrisers Hyderabad,PA Reddy
1420,2016,Sunrisers Hyderabad,Mustafizur Rahman
1421,2019,Kolkata Knight Riders,H Gurney
1422,2019,Kolkata Knight Riders,N Rana
1423,2009,Royal Challengers Bangalore,MK Pandey
1424,2013,Rajasthan Royals,SW Tait
1425,2008,Deccan Chargers,WPUJC Vaas
1426,2017,Mumbai Indians,KA Pollard
1427,2014,Royal Challengers Bangalore,HV Patel
1428,2008,Deccan Chargers,HH Gibbs
1429,2019,Royal Challengers Bangalore,K Khejroliya
1430,2019,Delhi Capitals,J Suchith
1431,2011,Kings XI Punjab,Sunny Singh
1432,2008,Kolkata Knight Riders,WP Saha
1433,2018,Chennai Super Kings,KM Asif
1434,2010,Delhi Daredevils,AB de Villiers
1435,2012,Mumbai Indians,MM Patel
1436,2016,Sunrisers Hyderabad,A Ashish Reddy
1437,2010,Deccan Chargers,RG Sharma
1438,2015,Kolkata Knight Riders,UT Yadav
1439,2016,Rising Pune Supergiants,I Sharma
1440,2012,Royal Challengers Bangalore,SS Tiwary
1441,2015,Chennai Super Kings,DJ Bravo
1442,2010,Kings XI Punjab,YA Abdulla
1443,2010,Royal Challengers Bangalore,A Mithun
1444,2013,Royal Challengers Bangalore,M Kartik
1445,2013,Rajasthan Royals,STR Binny
1446,2011,Kolkata Knight Riders,Shakib Al Hasan
1447,2010,Royal Challengers Bangalore,V Kohli
1448,2013,Delhi Daredevils,IK Pathan
1449,2012,Chennai Super Kings,VY Mahesh
1450,2016,Sunrisers Hyderabad,Bipul Sharma
1451,2012,Chennai Super Kings,RA Jadeja
1452,2010,Mumbai Indians,CRD Fernando
1453,2012,Delhi Daredevils,AD Russell
1454,2015,Sunrisers Hyderabad,EJG Morgan
1455,2009,Rajasthan Royals,SK Trivedi
1456,2016,Rising Pune Supergiants,IK Pathan
1457,2013,Pune Warriors,AB Dinda
1458,2011,Pune Warriors,B Kumar
1459,2016,Rising Pune Supergiants,MR Marsh
1460,2011,Kolkata Knight Riders,SP Goswami
1461,2013,Kings XI Punjab,Gurkeerat Singh
1462,2018,Kings XI Punjab,Yuvraj Singh
1463,2010,Mumbai Indians,ST Jayasuriya
1464,2008,Rajasthan Royals,Kamran Akmal
1465,2012,Rajasthan Royals,A Singh
1466,2011,Delhi Daredevils,IK Pathan
1467,2009,Deccan Chargers,AA Bilakhia
1468,2011,Kochi Tuskers Kerala,RR Powar
1469,2010,Kings XI Punjab,Yuvraj Singh
1470,2009,Deccan Chargers,SB Styris
1471,2018,Sunrisers Hyderabad,Rashid Khan
1472,2018,Kings XI Punjab,MK Tiwary
1473,2010,Kings XI Punjab,J Theron
1474,2010,Delhi Daredevils,A Nehra
1475,2013,Sunrisers Hyderabad,DJG Sammy
1476,2010,Delhi Daredevils,DP Nannes
1477,2016,Royal Challengers Bangalore,STR Binny
1478,2018,Rajasthan Royals,JC Buttler
1479,2017,Mumbai Indians,MJ McClenaghan
1480,2018,Delhi Daredevils,J Dala
1481,2014,Royal Challengers Bangalore,Yuvraj Singh
1482,2019,Royal Challengers Bangalore,MP Stoinis
1483,2012,Rajasthan Royals,BJ Hodge
1484,2008,Mumbai Indians,RR Raje
1485,2012,Deccan Chargers,Ankit Sharma
1486,2017,Delhi Daredevils,Mohammed Shami
1487,2011,Deccan Chargers,DW Steyn
1488,2014,Sunrisers Hyderabad,DJG Sammy
1489,2009,Kolkata Knight Riders,BAW Mendis
1490,2013,Pune Warriors,R Sharma
1491,2009,Delhi Daredevils,AB de Villiers
1492,2008,Kings XI Punjab,JR Hopes
1493,2016,Delhi Daredevils,NM Coulter-Nile
1494,2009,Kolkata Knight Riders,Mashrafe Mortaza
1495,2009,Chennai Super Kings,MS Dhoni
1496,2014,Kolkata Knight Riders,SA Yadav
1497,2014,Kolkata Knight Riders,PJ Cummins
1498,2019,Sunrisers Hyderabad,MJ Guptill
1499,2012,Mumbai Indians,RE Levi
1500,2008,Delhi Daredevils,MF Maharoof
1501,2010,Chennai Super Kings,S Anirudha
1502,2012,Pune Warriors,B Kumar
1503,2018,Royal Challengers Bangalore,UT Yadav
1504,2013,Delhi Daredevils,BMAJ Mendis
1505,2011,Mumbai Indians,AC Blizzard
1506,2016,Rising Pune Supergiants,MS Dhoni
1507,2019,Chennai Super Kings,DJ Bravo
1508,2019,Kolkata Knight Riders,PP Chawla
1509,2014,Royal Challengers Bangalore,R Rampaul
1510,2011,Royal Challengers Bangalore,M Kaif
1511,2019,Delhi Capitals,K Rabada
1512,2016,Kings XI Punjab,MP Stoinis
1513,2017,Royal Challengers Bangalore,Avesh Khan
1514,2017,Delhi Daredevils,K Rabada
1515,2013,Chennai Super Kings,MEK Hussey
1516,2012,Kolkata Knight Riders,JH Kallis
1517,2011,Chennai Super Kings,TG Southee
1518,2017,Gujarat Lions,NB Singh
1519,2013,Kolkata Knight Riders,R McLaren
1520,2015,Mumbai Indians,PP Ojha
1521,2013,Mumbai Indians,RT Ponting
1522,2013,Rajasthan Royals,PV Tambe
1523,2008,Royal Challengers Bangalore,DW Steyn
1524,2015,Kolkata Knight Riders,G Gambhir
1525,2019,Kings XI Punjab,Mandeep Singh
1526,2013,Rajasthan Royals,GB Hogg
1527,2016,Rising Pune Supergiants,Ankit Sharma
1528,2015,Rajasthan Royals,R Bhatia
1529,2014,Chennai Super Kings,A Nehra
1530,2015,Sunrisers Hyderabad,Bipul Sharma
1531,2010,Rajasthan Royals,AJ Finch
1532,2011,Rajasthan Royals,AA Chavan
1533,2009,Deccan Chargers,Y Venugopal Rao
1534,2011,Kings XI Punjab,AM Nayar
1535,2014,Rajasthan Royals,SR Watson
1536,2011,Pune Warriors,JP Faulkner
1537,2008,Chennai Super Kings,ML Hayden
1538,2012,Pune Warriors,R Sharma
1539,2009,Kolkata Knight Riders,SS Shaikh
1540,2012,Delhi Daredevils,KP Pietersen
1541,2013,Pune Warriors,MR Marsh
1542,2011,Chennai Super Kings,KMDN Kulasekara
1543,2012,Royal Challengers Bangalore,AUK Pathan
1544,2008,Chennai Super Kings,JA Morkel
1545,2011,Kochi Tuskers Kerala,RP Singh
1546,2015,Kolkata Knight Riders,M Morkel
1547,2011,Deccan Chargers,PP Ojha
1548,2012,Rajasthan Royals,STR Binny
1549,2012,Pune Warriors,SC Ganguly
1550,2013,Pune Warriors,KW Richardson
1551,2012,Kolkata Knight Riders,L Balaji
1552,2017,Sunrisers Hyderabad,MC Henriques
1553,2014,Chennai Super Kings,IC Pandey
1554,2019,Rajasthan Royals,STR Binny
1555,2011,Royal Challengers Bangalore,MA Agarwal
1556,2008,Mumbai Indians,CRD Fernando
1557,2011,Royal Challengers Bangalore,A Mithun
1558,2016,Kings XI Punjab,M Vijay
1559,2008,Royal Challengers Bangalore,SB Joshi
1560,2010,Delhi Daredevils,PD Collingwood
1561,2008,Kings XI Punjab,B Lee
1562,2015,Chennai Super Kings,DR Smith
1563,2014,Royal Challengers Bangalore,PA Patel
1564,2019,Kolkata Knight Riders,RV Uthappa
1565,2008,Kings XI Punjab,TM Srivastava
1566,2015,Chennai Super Kings,RG More
1567,2008,Chennai Super Kings,MS Dhoni
1568,2008,Delhi Daredevils,KD Karthik
1569,2011,Kolkata Knight Riders,YK Pathan
1570,2011,Rajasthan Royals,Pankaj Singh
1571,2016,Mumbai Indians,MJ McClenaghan
1572,2009,Royal Challengers Bangalore,W Jaffer
1573,2014,Chennai Super Kings,BW Hilfenhaus
1574,2015,Royal Challengers Bangalore,YS Chahal
1575,2008,Royal Challengers Bangalore,CL White
1576,2010,Royal Challengers Bangalore,KP Pietersen
1577,2009,Mumbai Indians,JP Duminy
1578,2009,Kolkata Knight Riders,A Chopra
1579,2010,Kings XI Punjab,KC Sangakkara
1580,2009,Deccan Chargers,A Symonds
1581,2015,Royal Challengers Bangalore,MS Bisla
1582,2015,Sunrisers Hyderabad,NV Ojha
1583,2019,Chennai Super Kings,MM Sharma
1584,2013,Mumbai Indians,SR Tendulkar
1585,2019,Kings XI Punjab,H Viljoen
1586,2019,Kings XI Punjab,DA Miller
1587,2019,Sunrisers Hyderabad,MK Pandey
1588,2008,Kolkata Knight Riders,RT Ponting
1589,2011,Kings XI Punjab,R McLaren
1590,2014,Delhi Daredevils,LRPL Taylor
1591,2019,Mumbai Indians,KH Pandya
1592,2017,Rising Pune Supergiant,SPD Smith
1593,2019,Chennai Super Kings,RA Jadeja
1594,2008,Mumbai Indians,SS Tiwary
1595,2019,Sunrisers Hyderabad,K Ahmed
1596,2010,Chennai Super Kings,NLTC Perera
1597,2012,Kings XI Punjab,JP Faulkner
1598,2017,Kings XI Punjab,R Tewatia
1599,2011,Rajasthan Royals,ND Doshi
1600,2010,Royal Challengers Bangalore,CL White
1601,2013,Sunrisers Hyderabad,Ankit Sharma
1602,2014,Delhi Daredevils,Imran Tahir
1603,2010,Rajasthan Royals,MJ Lumb
1604,2017,Kings XI Punjab,T Natarajan
1605,2015,Sunrisers Hyderabad,P Kumar
1606,2012,Mumbai Indians,AN Ahmed
1607,2010,Chennai Super Kings,ML Hayden
1608,2010,Kolkata Knight Riders,AB Agarkar
1609,2014,Kolkata Knight Riders,PP Chawla
1610,2008,Deccan Chargers,DP Vijaykumar
1611,2019,Mumbai Indians,JJ Bumrah
1612,2013,Sunrisers Hyderabad,I Sharma
1613,2017,Rising Pune Supergiant,R Bhatia
1614,2008,Mumbai Indians,RV Uthappa
1615,2009,Mumbai Indians,DS Kulkarni
1616,2013,Kolkata Knight Riders,S Ladda
1617,2014,Royal Challengers Bangalore,AN Ahmed
1618,2019,Rajasthan Royals,A Turner
1619,2008,Royal Challengers Bangalore,B Akhil
1620,2010,Deccan Chargers,WPUJC Vaas
1621,2011,Kolkata Knight Riders,B Lee
1622,2015,Delhi Daredevils,S Nadeem
1623,2013,Mumbai Indians,DR Smith
1624,2014,Chennai Super Kings,V Shankar
1625,2016,Kolkata Knight Riders,YK Pathan
1626,2011,Deccan Chargers,A Mishra
1627,2015,Delhi Daredevils,MK Tiwary
1628,2009,Delhi Daredevils,M Manhas
1629,2019,Rajasthan Royals,J Archer
1630,2008,Rajasthan Royals,SA Asnodkar
1631,2013,Royal Challengers Bangalore,A Mukund
1632,2017,Gujarat Lions,JJ Roy
1633,2017,Mumbai Indians,MG Johnson
1634,2012,Royal Challengers Bangalore,M Muralitharan
1635,2018,Sunrisers Hyderabad,S Kaul
1636,2011,Kings XI Punjab,SD Chitnis
1637,2018,Sunrisers Hyderabad,KS Williamson
1638,2015,Royal Challengers Bangalore,V Kohli
1639,2019,Chennai Super Kings,MS Dhoni
1640,2009,Kolkata Knight Riders,MC Henriques
1641,2016,Kings XI Punjab,HM Amla
1642,2010,Deccan Chargers,HH Gibbs
1643,2018,Royal Challengers Bangalore,SN Khan
1644,2010,Kolkata Knight Riders,BJ Hodge
1645,2012,Delhi Daredevils,AB Agarkar
1646,2016,Royal Challengers Bangalore,HV Patel
1647,2016,Mumbai Indians,S Gopal
1648,2017,Royal Challengers Bangalore,Iqbal Abdulla
1649,2014,Rajasthan Royals,Ankit Sharma
1650,2009,Rajasthan Royals,J Botha
1651,2013,Mumbai Indians,Harbhajan Singh
1652,2008,Mumbai Indians,PR Shah
1653,2018,Sunrisers Hyderabad,B Stanlake
1654,2013,Chennai Super Kings,RA Jadeja
1655,2013,Kolkata Knight Riders,L Balaji
1656,2015,Royal Challengers Bangalore,AB de Villiers
1657,2018,Sunrisers Hyderabad,Sandeep Sharma
1658,2008,Delhi Daredevils,Mohammad Asif
1659,2009,Mumbai Indians,YV Takawale
1660,2019,Royal Challengers Bangalore,PA Patel
1661,2009,Kolkata Knight Riders,SS Sarkar
1662,2019,Chennai Super Kings,KV Sharma
1663,2014,Mumbai Indians,CM Gautam
1664,2008,Kings XI Punjab,IK Pathan
1665,2012,Delhi Daredevils,Y Nagar
1666,2008,Rajasthan Royals,Sohail Tanvir
1667,2009,Kings XI Punjab,T Kohli
1668,2013,Chennai Super Kings,MM Sharma
1669,2015,Chennai Super Kings,BB McCullum
1670,2015,Rajasthan Royals,BB Sran
1671,2012,Chennai Super Kings,KMDN Kulasekara
1672,2012,Delhi Daredevils,UBT Chand
1673,2018,Sunrisers Hyderabad,CR Brathwaite
1674,2017,Kolkata Knight Riders,YK Pathan
1675,2016,Gujarat Lions,DJ Bravo
1676,2013,Mumbai Indians,MG Johnson
1677,2014,Kings XI Punjab,R Dhawan
1678,2009,Deccan Chargers,PP Ojha
1679,2008,Rajasthan Royals,Niraj Patel
1680,2017,Royal Challengers Bangalore,YS Chahal
1681,2016,Rising Pune Supergiants,F du Plessis
1682,2013,Royal Challengers Bangalore,AB de Villiers
1683,2018,Kings XI Punjab,AD Nath
1684,2011,Kings XI Punjab,SJ Srivastava
1685,2009,Chennai Super Kings,SB Jakati
1686,2017,Delhi Daredevils,A Mishra
1687,2017,Sunrisers Hyderabad,Mustafizur Rahman
1688,2015,Mumbai Indians,RG Sharma
1689,2018,Chennai Super Kings,L Ngidi
1690,2011,Kings XI Punjab,RJ Harris
1691,2017,Royal Challengers Bangalore,P Negi
1692,2009,Chennai Super Kings,GJ Bailey
1693,2013,Kings XI Punjab,PP Chawla
1694,2012,Mumbai Indians,DJ Jacobs
1695,2012,Deccan Chargers,A Mishra
1696,2015,Sunrisers Hyderabad,KL Rahul
1697,2012,Chennai Super Kings,S Anirudha
1698,2016,Gujarat Lions,SB Jakati
1699,2010,Chennai Super Kings,SB Jakati
1700,2012,Royal Challengers Bangalore,J Syed Mohammad
1701,2011,Pune Warriors,SC Ganguly
1702,2018,Royal Challengers Bangalore,TG Southee
1703,2019,Mumbai Indians,J Yadav
1704,2012,Deccan Chargers,J Theron
1705,2014,Rajasthan Royals,DH Yagnik
1706,2010,Rajasthan Royals,AC Voges
1707,2015,Sunrisers Hyderabad,RS Bopara
1708,2011,Chennai Super Kings,S Anirudha
1709,2011,Deccan Chargers,B Chipli
1710,2019,Chennai Super Kings,SW Billings
1711,2011,Deccan Chargers,CL White
1712,2010,Rajasthan Royals,SB Wagh
1713,2013,Rajasthan Royals,R Shukla
1714,2019,Mumbai Indians,E Lewis
1715,2018,Royal Challengers Bangalore,Washington Sundar
1716,2013,Sunrisers Hyderabad,DW Steyn
1717,2015,Sunrisers Hyderabad,TA Boult
1718,2013,Pune Warriors,LJ Wright
1719,2009,Rajasthan Royals,A Singh
1720,2012,Pune Warriors,JD Ryder
1721,2012,Royal Challengers Bangalore,HV Patel
1722,2011,Mumbai Indians,SL Malinga
1723,2015,Kolkata Knight Riders,PP Chawla
1724,2012,Rajasthan Royals,SK Trivedi
1725,2010,Rajasthan Royals,AS Raut
1726,2012,Pune Warriors,MK Pandey
1727,2009,Kings XI Punjab,PP Chawla
1728,2019,Sunrisers Hyderabad,KS Williamson
1729,2016,Royal Challengers Bangalore,D Wiese
1730,2013,Kolkata Knight Riders,PJ Sangwan
1731,2019,Sunrisers Hyderabad,S Kaul
1732,2013,Sunrisers Hyderabad,PA Patel
1733,2009,Kolkata Knight Riders,M Kartik
1734,2013,Pune Warriors,LRPL Taylor
1735,2016,Sunrisers Hyderabad,KS Williamson
1736,2011,Kolkata Knight Riders,RN ten Doeschate
1737,2008,Kolkata Knight Riders,I Sharma
1738,2018,Rajasthan Royals,AM Rahane
1739,2013,Pune Warriors,RV Uthappa
1740,2013,Kings XI Punjab,P Kumar
1741,2013,Mumbai Indians,JJ Bumrah
1742,2014,Royal Challengers Bangalore,VR Aaron
1743,2014,Mumbai Indians,JJ Bumrah
1744,2016,Royal Challengers Bangalore,V Kohli
1745,2018,Delhi Daredevils,S Nadeem
1746,2016,Mumbai Indians,N Rana
1747,2014,Royal Challengers Bangalore,S Rana
1748,2013,Royal Challengers Bangalore,KL Rahul
1749,2011,Pune Warriors,MD Mishra
1750,2016,Gujarat Lions,JP Faulkner
1751,2010,Chennai Super Kings,MS Dhoni
1752,2014,Kolkata Knight Riders,G Gambhir
1753,2010,Mumbai Indians,SS Tiwary
1754,2014,Delhi Daredevils,WD Parnell
1755,2013,Chennai Super Kings,DJ Bravo
1756,2010,Mumbai Indians,SR Tendulkar
1757,2015,Mumbai Indians,PA Patel
1758,2008,Mumbai Indians,DJ Bravo
1759,2019,Rajasthan Royals,BA Stokes
1760,2019,Sunrisers Hyderabad,B Kumar
1761,2014,Delhi Daredevils,Q de Kock
1762,2008,Delhi Daredevils,MK Tiwary
1763,2008,Mumbai Indians,SD Chitnis
1764,2011,Deccan Chargers,S Dhawan
1765,2010,Chennai Super Kings,C Ganapathy
1766,2017,Kings XI Punjab,WP Saha
1767,2011,Kolkata Knight Riders,L Balaji
1768,2009,Mumbai Indians,SL Malinga
1769,2018,Chennai Super Kings,SR Watson
1770,2011,Deccan Chargers,MS Gony
1771,2019,Kolkata Knight Riders,S Warrier
1772,2008,Chennai Super Kings,PA Patel
1773,2017,Royal Challengers Bangalore,TS Mills
1774,2008,Delhi Daredevils,DL Vettori
1775,2011,Kolkata Knight Riders,R Bhatia
1776,2011,Delhi Daredevils,AB Agarkar
1777,2019,Royal Challengers Bangalore,UT Yadav
1778,2016,Kolkata Knight Riders,JW Hastings
1779,2016,Sunrisers Hyderabad,NV Ojha
1780,2017,Gujarat Lions,RA Jadeja
1781,2008,Kings XI Punjab,PP Chawla
1782,2010,Kings XI Punjab,S Sreesanth
1783,2011,Deccan Chargers,Anand Rajan
1784,2012,Mumbai Indians,TL Suman
1785,2013,Rajasthan Royals,AA Chavan
1786,2019,Sunrisers Hyderabad,J Bairstow
1787,2010,Mumbai Indians,KA Pollard
1788,2013,Chennai Super Kings,S Badrinath
1789,2014,Kolkata Knight Riders,UT Yadav
1790,2019,Kings XI Punjab,R Ashwin
1791,2009,Kolkata Knight Riders,SB Bangar
1792,2017,Kings XI Punjab,AR Patel
1793,2018,Kings XI Punjab,R Ashwin
