,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
271,M Manhas,2.85417,0.00000,2.85417
272,AP Tare,2.81980,0.00000,2.81980
273,SA Asnodkar,2.80730,0.00000,2.80730
274,PA Patel,2.73646,0.00000,2.73646
275,,0.00000,2.68515,2.68515
276,S Sohal,2.68333,0.00000,2.68333
277,KC Sangakkara,2.68125,0.00000,2.68125
278,,0.00000,2.67926,2.67926
279,,0.00000,2.61793,2.61793
280,,0.00000,2.61557,2.61557
281,B Chipli,2.60729,0.00000,2.60729
282,,0.00000,2.56486,2.56486
283,SR Tendulkar,2.54792,0.00000,2.54792
284,,0.00000,2.53656,2.53656
285,,0.00000,2.51770,2.51770
286,SP Fleming,2.50104,0.00000,2.50104
287,Y Nagar,2.48854,0.00000,2.48854
288,CM Gautam,2.48125,0.00000,2.48125
289,,0.00000,2.47761,2.47761
290,,0.00000,2.46227,2.46227
291,,0.00000,2.45519,2.45519
292,,0.00000,2.41039,2.41039
293,R Dravid,2.26459,0.00000,2.26459
294,MD Mishra,2.20313,0.00000,2.20313
295,,0.00000,2.08492,2.08492
296,YV Takawale,2.08333,0.00000,2.08333
297,M Kaif,2.06771,0.00000,2.06771
298,VVS Laxman,1.99271,0.00000,1.99271
299,P Dogra,1.97083,0.00000,1.97083
300,HH Gibbs,1.87813,0.00000,1.87813
301,M Rawat,1.87709,0.00000,1.87709
302,FY Fazal,1.87396,0.00000,1.87396
303,MS Bisla,1.86459,0.00000,1.86459
304,GC Smith,1.85208,0.00000,1.85208
305,CA Pujara,1.45000,0.00000,1.45000
306,SP Goswami,1.45000,0.00000,1.45000
307,GH Vihari,1.44271,0.00000,1.44271
308,PA Reddy,1.33437,0.00000,1.33437
309,K Goel,1.21875,0.00000,1.21875
310,UBT Chand,0.94688,0.00000,0.94688
311,AD Nath,0.93750,0.00000,0.93750
